premise	hypothesis	label
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	girls take photos outdoors while a man performs exciting skateboarding tricks.	0
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	a waitress is photographing the man.	0
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	a pro photographer is taking pictures of a pro skater.	1
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	two men are going down a water slide.	2
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	a man photographs a skateboarder doing lives.	0
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	a man tries to get the perfect picture of a skateboarder for a magazine.	1
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	a male skateboarder performs commercial demonstrations for professional photographers.	1
One biker is running with their bike while another is riding around them.	the girls are driving cars	2
One biker is running with their bike while another is riding around them.	the people are centenary of the club	1
One biker is running with their bike while another is riding around them.	we have bikes	0
Two people with bicycles, one in front running with a bike and one in back riding.	two people eating ice cream arrived at the back.	2
Two people with bicycles, one in front running with a bike and one in back riding.	old people taking their bikes to the trail.	1
Two people with bicycles, one in front running with a bike and one in back riding.	one person sitting next to their bike with the person riding the bike behind them.	0
A young man doing a trick on a skateboard down the stairs while being photographed.	a young man rollers across a ramp while being photographed.	2
A young man doing a trick on a skateboard down the stairs while being photographed.	a penis - less young man does a flip on a skateboard while being photographed.	1
A young man doing a trick on a skateboard down the stairs while being photographed.	a man being photographed while he had a trick on his skateboard down the stairs.	0
A lady in a black and white striped shirt and holding a bouquet of flowers, looks seriously at two gentlemen talking on the steps.	a lady is about to propose to her son.	1
A lady in a black and white striped shirt and holding a bouquet of flowers, looks seriously at two gentlemen talking on the steps.	a lady with a pretty face is standing with two guys in flights of steps outside.	0
A lady in a black and white striped shirt and holding a bouquet of flowers, looks seriously at two gentlemen talking on the steps.	three guys were standing indoors with flowers in their hands.	2
A man walking proudly down the street.	the man stuck in the theatre watching avatar.	2
A man walking proudly down the street.	the man is part of the gay pride diva.	1
A man walking proudly down the street.	a man stepped outside.	0
Four teenage boys are doing cannonballs into a swimming pool.	the kids are having a competition to see who throws the most trash out of a pool.	1
Four teenage boys are doing cannonballs into a swimming pool.	a group of young women are splashing a lot of water.	0
Four teenage boys are doing cannonballs into a swimming pool.	some people are eating pizza in a restaurant.	2
Three men standing on grass by the water looking at something on a table.	the three men are by the lake.	1
Three men standing on grass by the water looking at something on a table.	the three men are outside ;	0
Three men standing on grass by the water looking at something on a table.	the three men were indoors playing foosball.	2
A woman stands behind an outdoor grill with a blue basket of food in her hands.	a woman holding a blue basket full of food at a family cookout.	1
